Sn,Ag,Cu,d,Frequency,T,Drop,P,Life
96.5,3.5,0,6,0.1,20,25,0.00797506,4901
96.5,3.5,0,6,0.1,20,25,0.00819021,4705
96.5,3.5,0,6,0.1,20,25,0.00852385,4471
96.5,3.5,0,6,0.1,20,25,0.00898995,3997
96.5,3.5,0,6,0.1,20,25,0.00948153,3799
96.5,3.5,0,6,0.1,20,25,0.00960857,3722
96.5,3.5,0,6,0.1,20,25,0.01,3501
96.5,3.5,0,6,0.1,20,25,0.0102698,3362
96.5,3.5,0,6,0.1,20,25,0.0108313,3195
96.5,3.5,0,6,0.1,20,25,0.0111235,3067
96.5,3.5,0,6,0.1,20,25,0.0117318,2915
96.5,3.5,0,6,0.1,20,25,0.011889,2827
96.5,3.5,0,6,0.1,20,25,0.0125391,2553
96.5,3.5,0,6,0.1,20,25,0.0125391,2502
96.5,3.5,0,6,0.1,20,25,0.0125391,2426
96.5,3.5,0,6,0.1,20,25,0.0125391,2329
96.5,3.5,0,6,0.1,20,25,0.0125391,2236
96.5,3.5,0,6,0.1,20,25,0.0134019,2214
96.5,3.5,0,6,0.1,20,25,0.0141348,2191
96.5,3.5,0,6,0.1,20,25,0.0149077,2169
96.5,3.5,0,6,0.1,20,25,0.0151074,2125
96.5,3.5,0,6,0.1,20,25,0.0163634,2083
96.5,3.5,0,6,0.1,20,25,0.0157229,2083
96.5,3.5,0,6,0.1,20,25,0.0174894,2061
96.5,3.5,0,6,0.1,85,25,0.00340245,7442
96.5,3.5,0,6,0.1,85,25,0.00344804,7292
96.5,3.5,0,6,0.1,85,25,0.00349424,7001
96.5,3.5,0,6,0.1,85,25,0.00368531,6653
96.5,3.5,0,6,0.1,85,25,0.00378473,6387
96.5,3.5,0,6,0.1,85,25,0.00383544,6258
96.5,3.5,0,6,0.1,85,25,0.00399168,5948
96.5,3.5,0,6,0.1,85,25,0.00404517,5768
96.5,3.5,0,6,0.1,85,25,0.00420996,5482
96.5,3.5,0,6,0.1,85,25,0.00432353,5210
96.5,3.5,0,6,0.1,85,25,0.00455994,4951
96.5,3.5,0,6,0.1,85,25,0.0047457,4802
96.5,3.5,0,6,0.1,85,25,0.00480929,4610
96.5,3.5,0,6,0.1,85,25,0.00487373,4471
96.5,3.5,0,6,0.1,85,25,0.00493903,4337
96.5,3.5,0,6,0.1,85,25,0.00514023,4249
96.5,3.5,0,6,0.1,85,25,0.00556756,3997
96.5,3.5,0,6,0.1,85,25,0.005872,3647
96.5,3.5,0,6,0.1,85,25,0.00644538,3227
96.5,3.5,0,6,0.1,85,25,0.00644538,3130
96.5,3.5,0,6,0.1,85,25,0.00653174,3036
96.5,3.5,0,6,0.1,85,25,0.00688891,2827
96.5,3.5,0,6,0.1,85,25,0.00716954,2770
96.5,3.5,0,6,0.1,85,25,0.00746161,2659
96.5,3.5,0,6,0.1,85,25,0.0076629,2426
96.5,3.5,0,6,0.1,85,25,0.00776557,2402
96.5,3.5,0,6,0.1,85,25,0.00786962,2282
96.5,3.5,0,6,0.1,85,25,0.00786962,2214
96.5,3.5,0,6,0.1,85,25,0.00797506,2125
96.5,3.5,0,6,0.1,85,25,0.00829994,2104
96.5,3.5,0,6,0.1,85,25,0.0087538,2083
96.5,3.5,0,6,0.1,85,25,0.00898995,2040
96.5,3.5,0,6,0.1,85,25,0.00935617,1979
96.5,3.5,0,6,0.1,85,25,0.00973732,1900
96.5,3.5,0,6,0.1,85,25,0.00986778,1806
96.5,3.5,0,6,0.1,85,25,0.010134,1751
96.5,3.5,0,6,0.1,85,25,0.0106881,1614
96.5,3.5,0,6,0.1,85,25,0.0112726,1582
96.5,3.5,0,6,0.1,85,25,0.011889,1582
96.5,3.5,0,6,0.1,85,25,0.0134019,1550
96.5,3.5,0,6,0.1,85,25,0.0135815,1503
96.5,3.5,0,6,0.1,85,25,0.0134019,1443
96.5,3.5,0,6,0.1,85,25,0.0135815,1344
96.5,3.5,0,6,0.1,85,25,0.0143242,1201
96.5,3.5,0,6,0.1,85,25,0.0149077,1107
96.5,3.5,0,6,0.1,85,25,0.0153099,1096
96.5,3.5,0,6,0.1,85,25,0.016147,1052
96.5,3.5,0,6,0.1,85,25,0.0165826,1031
96.5,3.5,0,6,0.1,85,25,0.0168048,1010
96.5,3.5,0,6,0.1,85,25,0.0168048,980
96.5,3.5,0,6,0.1,85,25,0.01703,941
96.5,3.5,0,6,0.1,120,25,0.00305879,2915
96.5,3.5,0,6,0.1,120,25,0.0031413,2798
96.5,3.5,0,6,0.1,120,25,0.00322605,2742
96.5,3.5,0,6,0.1,120,25,0.00349424,2632
96.5,3.5,0,6,0.1,120,25,0.00368531,2553
96.5,3.5,0,6,0.1,120,25,0.00383544,2426
96.5,3.5,0,6,0.1,120,25,0.00399168,2402
96.5,3.5,0,6,0.1,120,25,0.00409937,2306
96.5,3.5,0,6,0.1,120,25,0.00432353,2169
96.5,3.5,0,6,0.1,120,25,0.00444016,2125
96.5,3.5,0,6,0.1,120,25,0.00462104,2040
96.5,3.5,0,6,0.1,120,25,0.0047457,1999
96.5,3.5,0,6,0.1,120,25,0.00493903,1979
96.5,3.5,0,6,0.1,120,25,0.00500521,1919
96.5,3.5,0,6,0.1,120,25,0.00514023,1900
96.5,3.5,0,6,0.1,120,25,0.00534963,1843
96.5,3.5,0,6,0.1,120,25,0.00556756,1769
96.5,3.5,0,6,0.1,120,25,0.00564216,1699
96.5,3.5,0,6,0.1,120,25,0.00595068,1647
96.5,3.5,0,6,0.1,120,25,0.00627607,1582
96.5,3.5,0,6,0.1,120,25,0.00627607,1550
96.5,3.5,0,6,0.1,120,25,0.00644538,1428
96.5,3.5,0,6,0.1,120,25,0.00688891,1344
96.5,3.5,0,6,0.1,120,25,0.0076629,1290
96.5,3.5,0,6,0.1,120,25,0.0076629,1251
96.5,3.5,0,6,0.1,120,25,0.00786962,1165
96.5,3.5,0,6,0.1,120,25,0.00898995,1130
96.5,3.5,0,6,0.1,120,25,0.0091104,1052
96.5,3.5,0,6,0.1,120,25,0.00935617,1010
96.5,3.5,0,6,0.1,120,25,0.0105468,1000
96.5,3.5,0,6,0.1,120,25,0.0114236,1000
96.5,3.5,0,6,0.1,120,25,0.00973732,1000
96.5,3.5,0,6,0.1,120,25,0.0122097,990
96.5,3.5,0,6,0.1,120,25,0.0123733,941
96.5,3.5,0,6,0.1,120,25,0.0127071,894
96.5,3.5,0,6,0.1,120,25,0.0132247,858
96.5,3.5,0,6,0.1,120,25,0.0137635,824
96.5,3.5,0,6,0.1,120,25,0.0139479,783
96.5,3.5,0,6,0.1,120,25,0.0139479,752
96.5,3.5,0,6,0.1,120,25,0.0143242,707
96.5,3.5,0,6,0.1,120,25,0.0149077,686
96.5,3.5,0,6,0.1,120,25,0.0157229,672
96.5,3.5,0,6,0.1,120,25,0.0165826,645
96.5,3.5,0,6,0.1,120,25,0.0165826,626
96.5,3.5,0,6,0.1,120,25,0.0165826,601
96.5,3.5,0,6,0.1,120,25,0.0168048,577
96.5,3.5,0,6,0.1,120,25,0.0172581,571
96.5,3.5,0,6,0.1,120,25,0.0186929,554
96.5,3.5,0,6,0.1,120,25,0.0191972,537
96.5,3.5,0,6,0.1,120,25,0.0189433,495
99.3,0,0.7,3,1,125,50,0.899552,2265
99.3,0,0.7,3,1,125,50,0.937618,2204
99.3,0,0.7,3,1,125,50,1.01865,2086
99.3,0,0.7,3,1,125,50,1.07668,1921
99.3,0,0.7,3,1,125,50,1.17002,1674
99.3,0,0.7,3,1,125,50,1.21958,1607
99.3,0,0.7,3,1,125,50,1.3252,1439
99.3,0,0.7,3,1,125,50,1.42007,1344
99.3,0,0.7,3,1,125,50,1.52161,1290
99.3,0,0.7,3,1,125,50,1.60815,1221
